Ressource,Code Attributaire,Attributaire,Date d'effet,N° décision d'attribution
LO,HETE,Hexatel,30/01/2023,2023-0169
LQ,MASS,Masselin communication,02/02/2023,2023-0214
LR,CLTL,Cool telecom,08/02/2023,2023-0285
LS,YAAT,Yaatel,10/02/2023,2023-0326
LT,COVE,Sabio France,16/02/2023,2023-0375
LU,OPHO,Ophony,28/02/2023,2023-0474
LV,SCAN,Société coopérative d'aménagement numérique icaunaise,09/03/2023,2023-0536
LW,OVEA,OVEA,09/03/2023,2023-0540
LX,CLTE,Cloud telecom,19/04/2023,2023-0866
LY,DCID,Data consulting international,20/04/2023,2023-0889
LZ,DIME,NTT France,26/05/2023,2023-1145
ZZ,IPDI,IP Directions,23/05/2018,2018-0605
